Date,Open,High,Low,Close,Adj Close,Volume,BB_upper,BB_mid,BB_lower,MACD,MACD_signal,RSI,RSI_ema,RSI_signal,MACD_flip,BB_width,BB_diverging,Signal,PnL,ROI
2021-06-18,84.27999877929688,85.7699966430664,83.4800033569336,84.6500015258789,84.6500015258789,58736800,84.46675464874353,80.51799964904785,76.56924464935217,1.111865725997447,0.6952369336630884,64.42526515747834,56.45541059180116,0,0,7.89750999939136,1,1.602088885357597,,
2021-06-21,83.48999786376953,84.19000244140625,82.20999908447266,82.58999633789062,82.58999633789062,44417100,84.51937668583874,80.78899955749512,77.0586224291515,1.105456800971922,0.7772809071248551,56.375144841265104,56.444708491729685,-1,0,7.460754256687238,-1,-1.9787647445486005,,
2021-06-22,82.9000015258789,84.04000091552734,82.4800033569336,83.58000183105469,83.58000183105469,32107700,84.68117734629307,81.09599952697754,77.510821707662,1.1668125622901186,0.8551872381579078,59.02498255798263,56.788745033896745,1,0,7.170355638631065,-1,-0.3655976366577711,,
2021-06-23,83.83000183105469,84.48999786376953,83.16000366210938,83.81999969482422,83.81999969482422,25992400,84.84189473634518,81.39399948120118,77.94610422605717,1.220731434936539,0.928296077513634,59.664608415094236,57.172193484723074,0,0,6.895790510288009,-1,-1.140307394821963,,
2021-06-24,84.38999938964844,87.13999938964844,84.37000274658203,86.0999984741211,86.0999984741211,42217700,85.5035185820937,81.7819995880127,78.06048059393169,1.4309443410856346,1.0288257302280341,65.21926861853495,58.245136835897995,0,0,7.443037988162018,1,1.6969715459769201,,
2021-06-25,86.33999633789062,86.36000061035156,85.0999984741211,85.62000274658203,85.62000274658203,27804500,85.88589430055805,82.14199981689453,78.398105333231,1.5410437469419378,1.1312693335708148,63.24465341327965,58.91173904621555,0,0,7.487788967327049,1,1.7261095798338255,,
2021-06-28,86.37999725341797,88.0,86.1500015258789,87.08000183105469,87.08000183105469,30262000,86.68164795778243,82.49199981689453,78.30235167600664,1.7262093765372413,1.2502573421641001,66.56099873091529,59.93164033750885,0,0,8.379296281775794,1,1.759953338837068,67.39140880701763,0.07758946246613459
2021-06-29,87.41000366210938,90.30000305175781,86.66000366210938,89.5199966430664,89.5199966430664,46181000,88.03702345364336,82.92749977111816,77.81797608859297,2.0462537223175588,1.4094566181947918,71.23255438220625,61.43842887680184,0,0,10.219047365050386,1,1.8052343885425888,,
2021-06-30,90.81999969482422,94.33999633789062,90.5999984741211,93.93000030517578,93.93000030517578,70721500,90.50435775419265,83.5254997253418,76.54664169649095,2.6254767500650615,1.6526606445688459,77.38268129018766,63.56432919858661,0,0,13.957716057701703,1,1.8744089091899263,,
2021-07-01,94.04000091552734,94.18000030517578,91.69999694824219,93.30999755859375,93.30999755859375,58059000,92.17995380615946,84.17699966430663,76.17404552245381,2.9999050940137977,1.9221095344578363,74.95645576916338,65.08327940799686,0,0,16.00590828370565,1,1.95104825630485,,
2021-07-02,93.27999877929688,95.2699966430664,92.20999908447266,94.69999694824219,94.69999694824219,51316700,93.95022197400377,84.83299942016602,75.71577686632827,3.3699568237004343,2.211678992306356,76.7188290208408,66.63468602304272,0,0,18.234445107675498,1,2.033410496516995,,
2021-07-06,94.87999725341797,95.41000366210938,93.31999969482422,94.47000122070312,94.47000122070312,44930100,95.36576542483164,85.48899955749512,75.6122336901586,3.6031320886517904,2.4899696115754426,75.76870173693685,67.85255478489528,0,0,19.753531734673032,1,2.112564696698623,,
2021-07-07,95.0199966430664,95.44000244140625,90.30999755859375,90.54000091552734,90.54000091552734,51498500,95.84528518638679,85.97149963378907,76.09771408119134,3.4312536298543392,2.678226415231222,61.70610674520075,67.03302837960267,-1,0,19.747571105195448,-1,-1.438078818166273,,
